supermarket,unit_price,unit,names,date,category,own_brand,ASDA_price,Morrisons_price,Tesco_price
Sains,7.0,kg,Bonne Maman Black Cherry Conserve,20240129,food_cupboard,False,9.7,7.7,9.7
Sains,11.1,l,Napolina Olive Oil,20240129,food_cupboard,False,11.8,12.0,10.9
Sains,17.9,kg,Very Lazy Cajun Paste,20240129,food_cupboard,False,13.0,15.3,15.0
Sains,3.5,l,Pepsi Max No Sugar Cola Bottle,20240129,fresh_food,False,3.1,1.0,1.7666666666666668
Sains,3.1,kg,Cofresh Chilli & Lemon Bombay Mix,20240129,free-from,False,4.6,,3.0
Sains,5.95,kg,Heinz Seriously Good Mayonnaise,20240129,food_cupboard,False,6.75,4.4,4.4
Sains,3.6,kg,Dolmio Pasta Bake Carbonara Pasta Sauce,20240129,food_cupboard,False,3.6,5.2,5.2
Sains,12.0,kg,Gressingham Duck Fat,20240129,fresh_food,False,12.6,9.96,12.6
Sains,119.2,l,Nizoral Anti-Dandruff Shampoo,20240129,health_products,False,116.7,108.3,116.7
Sains,3.5,kg,Dolmio Pasta Bake Creamy Tomato Pasta Sauce,20240129,food_cupboard,False,3.5,,5.0
Sains,5.5,kg,Heinz Macaroni Cheese,20240129,food_cupboard,False,7.0,4.98,
Sains,3.0,kg,Heinz Spicy Parsnip Soup,20240129,food_cupboard,False,4.2,4.2,4.2
Sains,5.8,kg,Blue Dragon Chow Mein Stir Fry Sauce,20240129,fresh_food,False,7.9,7.9,7.9
Sains,10.0,l,Bulldog Skincare Original Shower Gel,20240129,free-from,False,6.7,10.0,10.7
Sains,8.0,kg,Tilda Kids Sunshine Vegetable Rice,20240129,baby_products,False,8.0,10.0,10.0
Sains,14.7,kg,Bisto Reduced Salt Chicken Gravy Granules,20240129,food_cupboard,False,14.7,14.7,16.3
Sains,13.33,l,Mr Muscle Oven Cleaner,20240129,household,False,13.33,13.33,10.0
Sains,2.2,l,Schweppes Slimline Tonic Water,20240129,drinks,False,1.7,1.3,2.45
Sains,28.9,kg,Quaker Oat So Simple Original Porridge Pot,20240129,food_cupboard,False,28.7,28.7,28.9
Sains,3.6,kg,Dolmio Lasagne Red Tomato Sauce,20240129,food_cupboard,False,3.7,5.0,4.3
Sains,7.0,l,Naked Green Machine Super Smoothie,20240129,fresh_food,False,2.7,5.3,5.3
Sains,35.0,kg,Kenco Smooth Instant Coffee,20240129,drinks,False,30.0,30.0,31.2
Sains,22.5,kg,Felix Goody Bag Cat Treats Mixed Grill,20240129,pets,False,20.0,22.5,18.33
Sains,28.6,l,Cetaphil Oily Skin Cleanser,20240129,health_products,False,31.8,31.8,38.1
Sains,13.283333333333333,kg,Paxo Sage & Onion Stuffing Mix,20240129,food_cupboard,False,15.88,15.88,12.95
Sains,5.5,kg,Whole Earth Smooth Peanut Butter,20240129,food_cupboard,False,9.7,6.79,9.9
Sains,5.0,l,Robinsons Pressed Pear & Elderflower Fruit Cordial,20240129,drinks,False,6.0,6.0,6.0
Sains,14.63,l,Barossa Ink Shiraz,20240129,drinks,False,146.63,12.64,14.63
Sains,1.25,kg,Salaam Basmati Rice,20240129,free-from,False,1.9,1.7,
Sains,0.56,unit,Soreen Lift Bars Blueberry,20240129,free-from,False,0.38,7.4,14.6
Sains,0.56,unit,Soreen Lift Bars Raspberry & Vanilla,20240129,bakery,False,0.38,7.4,14.6
Sains,5.8,kg,Blue Dragon Black Bean Stir Fry Sauce,20240129,food_cupboard,False,7.9,7.9,7.9
Sains,8.0,l,Kikkoman Tamari Gluten Free Soy Sauce,20240129,food_cupboard,False,11.0,9.0,12.0
Sains,35.9,kg,Kenco Gold Indulgence Instant Coffee,20240129,food_cupboard,False,31.6,30.8,32.0
Sains,4.0,kg,Rajah Chilli Powder,20240129,food_cupboard,False,7.0,10.0,5.0
Sains,20.5,kg,Felix Goody Bag Cat Treats Seaside Mix,20240129,pets,False,20.0,22.5,15.415
Sains,1.2,l,Dr Pepper Zero,20240129,food_cupboard,False,3.4,1.0,3.4
Sains,11.4,kg,Blue Dragon Thai Red Curry Paste,20240129,free-from,False,13.5,13.5,13.5
Sains,9.8,kg,Walkers Meaty Variety Multipack Crisps,20240129,food_cupboard,False,10.5,10.5,10.5
Sains,53.6,kg,Nescafe Azera Americano Instant Coffee,20240129,drinks,False,38.9,39.3,52.1
Sains,22.8,kg,Quaker Oat So Simple Golden Syrup Porridge Pot,20240129,food_cupboard,False,22.6,22.6,22.8
Sains,5.5,kg,Heinz Spaghetti Bolognese,20240129,food_cupboard,False,7.0,4.98,7.5
Sains,15.3,kg,Walkers Salt & Shake Multipack Crisps,20240129,food_cupboard,False,13.9,15.3,13.5
Sains,2.85,l,Coca-Cola Cherry,20240129,fresh_food,False,1.4,3.8,1.7
Sains,3.8,kg,Dolmio Lasagne Creamy White Sauce,20240129,food_cupboard,False,3.9,5.3,4.55
Sains,7.5,kg,Betty Crocker Vanilla Buttercream Style Icing,20240129,food_cupboard,False,7.5,6.2,7.5
Sains,7.0,kg,Bonne Maman Blackcurrant Conserve,20240129,food_cupboard,False,9.2,8.9,9.6
Sains,15.0,kg,Knorr Chicken Stock Cubes,20240129,food_cupboard,False,23.8,18.8,19.4
Sains,3.1,kg,Cofresh Gujarati Mix,20240129,food_cupboard,False,4.6,4.7,3.0
Sains,8.6,kg,Betty Crocker Peanut Butter Brownie Mix,20240129,food_cupboard,False,8.6,8.57,8.57
Sains,10.3,kg,Pukka Chicken & Bacon Slice,20240129,fresh_food,False,10.3,10.3,10.3
