supermarket,unit_price,unit,names,date,category,own_brand,ASDA_price,Morrisons_price,Sains_price
Tesco,3.526666666666667,kg,Birds Eye Garden Peas,20240129,frozen,False,2.31,4.27,3.616666666666666
Tesco,8.3,kg,Pek Chopped Pork,20240129,food_cupboard,False,7.7,11.7,8.3
Tesco,10.0,kg,Betty Crocker Chocolate Chip Cookie Mix,20240129,food_cupboard,False,10.0,9.9,10.0
Tesco,9.5,kg,Pukka Vegan Chicken & Mushroom Pie,20240129,fresh_food,False,9.5,9.5,9.52
Tesco,4.325,kg,Soreen Malt Lunchbox Loaves,20240129,food_cupboard,False,0.25,0.25,0.25
Tesco,2.45,l,Schweppes Slimline Tonic Water,20240129,drinks,False,1.7,1.3,2.2
Tesco,10.5,kg,Walkers Meaty Variety Multipack Crisps,20240129,food_cupboard,False,10.5,10.5,9.8
Tesco,11.7,l,Blue Dragon Fish Sauce,20240129,food_cupboard,False,11.7,11.7,10.0
Tesco,4.2,kg,Heinz Vegetable Soup,20240129,food_cupboard,False,4.2,4.2,2.65
Tesco,13.0,kg,Quaker Oat So Simple Original Porridge Sachets,20240129,food_cupboard,False,13.0,12.9,10.6
Tesco,26.0,kg,Quorn Vegan Chicken Free Slices,20240129,fresh_food,False,21.9,26.0,26.0
Tesco,14.34,kg,Rustlers All Day Breakfast Pancake Stack,20240129,fresh_food,False,13.95,17.4,15.5
Tesco,64.58500000000001,kg,Kiddylicious Veggie Straws,20240129,baby_products,False,58.3,45.8,56.06666666666666
Tesco,7.9,kg,Blue Dragon Sweet & Sour Stir Fry Sauce,20240129,food_cupboard,False,7.9,7.9,5.8
Tesco,7.9,kg,Blue Dragon Black Bean Stir Fry Sauce,20240129,food_cupboard,False,7.9,7.9,5.8
Tesco,4.4,kg,Yutaka Sushi Rice,20240129,food_cupboard,False,4.4,3.4,3.4
Tesco,3.15,l,Innocent Tropical Juice,20240129,fresh_food,False,2.2,3.0,2.2
Tesco,11.7,l,Haagen-Dazs Salted Caramel Ice Cream,20240129,frozen,False,8.1,11.3,8.2
Tesco,5.0,kg,Rajah Chilli Powder,20240129,food_cupboard,False,7.0,10.0,4.0
Tesco,3.15,l,Innocent Tropical Juice,20240129,drinks,False,2.2,3.0,2.2
Tesco,8.77,kg,Ben's Plant Powered Spicy Lentil Stew,20240129,food_cupboard,False,6.14,8.8,8.77
Tesco,2.0,unit,Pukka Minced Beef & Onion Pie,20240129,fresh_food,False,7.0,9.3,7.0
Tesco,5.1,l,Naked Strawberry & Banana Smoothie,20240129,drinks,False,4.0,7.8,2.7
Tesco,11.7,l,Haagen-Dazs Vanilla Ice Cream,20240129,frozen,False,8.1,11.3,8.2
Tesco,22.8,kg,Quaker Oat So Simple Golden Syrup Porridge Pot,20240129,food_cupboard,False,22.6,22.6,22.8
Tesco,11.7,kg,Pringles Original Sharing Crisps,20240129,food_cupboard,False,12.2,12.2,10.0
Tesco,30.0,kg,Peperami Chorizo,20240129,food_cupboard,False,22.5,27.5,29.9
Tesco,17.8,kg,Bisto Best Pork Gravy Granules,20240129,food_cupboard,False,13.0,13.0,16.5
Tesco,13.0,kg,Prymat Chicken Seasoning,20240129,food_cupboard,False,13.0,13.0,13.3
Tesco,3.35,kg,Heinz Spaghetti Hoops in Tomato Sauce,20240129,food_cupboard,False,4.39,4.39,1.88
Tesco,2.24,l,Fanta Orange,20240129,drinks,False,1.0,1.0,2.24
Tesco,1.7666666666666668,l,Pepsi Max No Sugar Cola Bottle,20240129,drinks,False,3.1,1.0,3.5
Tesco,14.6,kg,Soreen Lift Bars Blueberry,20240129,bakery,False,0.38,7.4,0.56
Tesco,11.7,kg,Pringles Sour Cream & Onion Sharing Crisps,20240129,food_cupboard,False,12.2,12.2,10.0
Tesco,4.3,kg,Dolmio Lasagne Red Tomato Sauce,20240129,food_cupboard,False,3.7,5.0,3.6
Tesco,10.3,kg,Pip & Nut Smooth Peanut Butter,20240129,food_cupboard,False,6.3,6.7,10.0
Tesco,11.7,kg,Pringles Salt & Vinegar Sharing Crisps,20240129,food_cupboard,False,12.2,12.2,10.0
Tesco,12.0,kg,Yeo Valley Organic Salted Butter,20240129,fresh_food,False,11.0,13.75,10.0
Tesco,11.94,kg,Rustlers All Day Breakfast Sausage Muffin,20240129,fresh_food,False,8.06,14.1,9.7
Tesco,10.5,kg,Walkers Cheese & Onion Multipack Crisps,20240129,food_cupboard,False,13.3,14.7,14.7
Tesco,9.6,kg,Bonne Maman Raspberry Conserve,20240129,food_cupboard,False,9.7,9.7,7.0
Tesco,2.8,l,Tiger Energy Drink,20240129,food_cupboard,False,2.6,3.2,2.8
Tesco,6.0,l,Robinsons Crushed Lime & Mint Fruit Cordial,20240129,drinks,False,6.0,6.0,5.0
Tesco,7.3,l,Jimmy's Iced Coffee Mocha,20240129,drinks,False,6.8,6.8,4.5
Tesco,2.7,l,Tropicana Pressed Apple Fruit Juice,20240129,drinks,False,2.8,2.0,3.3
Tesco,4.2,kg,Heinz Chicken Noodle Soup,20240129,food_cupboard,False,4.2,4.2,4.3
Tesco,10.9,l,Napolina Extra Virgin Olive Oil,20240129,food_cupboard,False,11.5,12.0,11.8
Tesco,4.2,kg,Heinz Lentil & Bacon Soup,20240129,food_cupboard,False,4.2,4.2,4.3
Tesco,5.2,kg,Dolmio Pasta Bake Carbonara Pasta Sauce,20240129,food_cupboard,False,3.6,5.2,3.6
Tesco,11.2,l,Ben & Jerry's Caramel Chew Chew Ice Cream Tub,20240129,food_cupboard,False,11.1,11.8,8.1
Tesco,3.25,l,Monster Energy Drink,20240129,drinks,False,2.4,3.6,3.0
Tesco,155.0,kg,Metanium Nappy Rash Ointment,20240129,baby_products,False,155.0,155.0,150.0
Tesco,14.6,kg,Soreen Lift Bars Raspberry & Vanilla,20240129,bakery,False,0.38,7.4,0.56
Tesco,16.3,kg,Bisto Reduced Salt Chicken Gravy Granules,20240129,food_cupboard,False,14.7,14.7,14.7
Tesco,4.8,l,Shaken Udder Chocolush Milkshake,20240129,drinks,False,3.3,3.27,3.55
Tesco,13.5,kg,Blue Dragon Thai Red Curry Paste,20240129,food_cupboard,False,13.5,13.5,11.4
Tesco,10.75,kg,Lurpak Slightly Salted Butter,20240129,fresh_food,False,10.75,10.75,8.5
Tesco,4.0,l,Black Sheep Ale,20240129,drinks,False,3.8,3.13,4.0
Tesco,11.0,kg,Colman's Bramley Apple Sauce,20240129,food_cupboard,False,7.7,11.0,11.0
Tesco,7.9,kg,Kellogg's Special K Oats & Honey Cereal,20240129,food_cupboard,False,7.8,7.8,7.9
Tesco,10.3,kg,Pukka Pepperoni Pizza Slice,20240129,fresh_food,False,10.3,10.3,10.3
Tesco,11.4,l,Halo Top Sea Salt Caramel Ice Cream,20240129,food_cupboard,False,7.4,7.93,11.1
Tesco,2.7,l,Tropicana Pure Orange & Mango Fruit Juice,20240129,drinks,False,2.8,2.0,4.9
Tesco,12.166666666666664,kg,Princes Corned Beef,20240129,food_cupboard,False,12.5,8.8,11.933333333333332
Tesco,2.1666666666666665,kg,Laila Basmati Rice,20240129,food_cupboard,False,1.8,1.4,1.6833333333333331
Tesco,12.2,kg,Pringles Smokey Bacon Sharing Crisps,20240129,food_cupboard,False,12.2,12.2,10.0
Tesco,11.5,kg,Ginsters Peppered Steak Slice,20240129,fresh_food,False,11.5,7.3,7.4
Tesco,10.0,kg,Anchor Salted Butter,20240129,fresh_food,False,8.0,8.0,10.0
Tesco,46.6,l,Cetaphil Gentle Skin Cleanser,20240129,health_products,False,31.8,31.8,28.6
Tesco,7.3,l,Jimmy's Iced Coffee Original,20240129,drinks,False,7.3,6.8,4.5
Tesco,3.0,l,Monster Energy Zero Sugar,20240129,drinks,False,3.4,2.8,2.95
Tesco,4.2,kg,Heinz Lentil Soup,20240129,food_cupboard,False,4.2,4.2,3.0
Tesco,2.87,kg,Bakers Meaty Meals Adult Dry Dog Food Chicken,20240129,pets,False,2.87,3.33,2.94
Tesco,4.2,kg,Heinz Minestrone Soup,20240129,food_cupboard,False,4.2,4.2,3.0
Tesco,7.9,kg,Blue Dragon Satay Stir Fry Sauce,20240129,food_cupboard,False,7.9,7.92,5.8
Tesco,12.2,kg,Pringles Prawn Cocktail Sharing Crisps,20240129,food_cupboard,False,12.2,12.2,10.0
Tesco,15.415,kg,Felix Goody Bag Cat Treats Seaside Mix,20240129,pets,False,20.0,22.5,20.5
