supermarket,unit_price,unit,names,date,category,own_brand,ASDA_price,Tesco_price,Sains_price
Morrisons,6.7,kg,Pip & Nut Smooth Peanut Butter,20240129,food_cupboard,False,6.3,10.3,10.0
Morrisons,4.1,kg,Bakers Meaty Meals Adult Dry Dog Food Beef,20240129,pets,False,2.87,2.87,2.94
Morrisons,12.64,l,Barossa Ink Shiraz,20240129,drinks,False,146.63,14.63,14.63
Morrisons,2.5,kg,McCain Crispy French Fries,20240129,frozen,False,3.07,3.315,3.03
Morrisons,10.0,kg,Rajah Chilli Powder,20240129,food_cupboard,False,7.0,5.0,4.0
Morrisons,4.4,l,Heinz Seriously Good Mayonnaise,20240129,food_cupboard,False,6.75,4.4,5.95
Morrisons,17.4,kg,Rustlers All Day Breakfast Pancake Stack,20240129,fresh_food,False,13.95,14.34,15.5
Morrisons,10.5,kg,Walkers Meaty Variety Multipack Crisps,20240129,food_cupboard,False,10.5,10.5,9.8
Morrisons,0.9,l,San Pellegrino Sparkling Natural Mineral Water,20240129,drinks,False,1.4,1.8666666666666665,1.3
Morrisons,2.8,kg,Onken Natural Set Yogurt,20240129,fresh_food,False,2.5,3.2,4.3
Morrisons,5.3,l,Naked Blue Machine Super Smoothie,20240129,drinks,False,2.7,5.3,7.0
Morrisons,2.0,l,Tropicana Pure Orange & Mango Fruit Juice,20240129,fresh_food,False,2.8,2.7,4.9
Morrisons,6.0,l,Robinsons Crushed Lime & Mint Fruit Cordial,20240129,drinks,False,6.0,6.0,5.0
Morrisons,5.3,l,Naked Green Machine Super Smoothie,20240129,drinks,False,2.7,5.3,7.0
Morrisons,7.1,kg,Morliny Frankfurters,20240129,food_cupboard,False,7.0,7.1,7.0
Morrisons,5.6,l,Yakult Balance,20240129,drinks,False,7.1,7.1,7.2
Morrisons,31.8,l,Cetaphil Oily Skin Cleanser,20240129,health_products,False,31.8,38.1,28.6
Morrisons,39.3,kg,Nescafe Azera Americano Instant Coffee,20240129,food_cupboard,False,38.9,52.1,53.6
Morrisons,73.3,kg,Kiddylicious Banana & Pumpkin Melty Buttons,20240129,baby_products,False,73.3,116.67,88.3
Morrisons,5.0,kg,Dolmio Bolognese Chunky Mushroom Pasta Sauce,20240129,food_cupboard,False,3.5,5.0,5.0
Morrisons,155.0,kg,Metanium Nappy Rash Ointment,20240129,baby_products,False,155.0,155.0,150.0
Morrisons,6.0,l,Robinsons Pressed Pear & Elderflower Fruit Cordial,20240129,drinks,False,6.0,6.0,5.0
Morrisons,6.8,l,Jimmy's Iced Coffee Original,20240129,fresh_food,False,7.3,7.3,4.5
Morrisons,3.0,l,Innocent Tropical Juice,20240129,drinks,False,2.2,3.15,2.2
Morrisons,37.5,kg,Lindt Gold Bunny White Chocolate,20240129,food_cupboard,False,25.0,32.5,37.5
Morrisons,13.0,kg,Prymat Chicken Seasoning,20240129,food_cupboard,False,13.0,13.0,13.3
Morrisons,3.33,kg,Bakers Meaty Meals Adult Dry Dog Food Chicken,20240129,pets,False,2.87,2.87,2.94
Morrisons,2.2,l,Fruit Shoot Apple Kids Juice Drink,20240129,drinks,False,1.6,2.2,2.3
Morrisons,20.0,kg,Bonne Maman Strawberry Conserve,20240129,food_cupboard,False,9.2,9.6,7.0
Morrisons,15.6,kg,Peperami Pizza Buns Original,20240129,fresh_food,False,14.1,17.2,17.5
Morrisons,13.33,l,Mr Muscle Oven Cleaner,20240129,household,False,13.33,10.0,13.33
Morrisons,27.78,kg,Squeaky Bean Spanish Chorizo Style Slices,20240129,fresh_food,False,31.67,31.67,33.33
Morrisons,8.3,kg,Aunt Bessie's Jam Roly Poly,20240129,frozen,False,6.3,6.7,6.7
Morrisons,4.1,l,Bundaberg Ginger Beer,20240129,drinks,False,3.2,4.05,4.3
Morrisons,7.8,l,Naked Strawberry & Banana Smoothie,20240129,fresh_food,False,4.0,5.1,2.7
Morrisons,50.0,kg,Cherry Blossom Shoe Polish Black,20240129,household,False,43.75,31.2,2.5
Morrisons,3.27,l,Shaken Udder Chocolush Milkshake,20240129,drinks,False,3.3,4.8,3.55
Morrisons,3.0,l,Monster Energy Drink Pacific Punch,20240129,drinks,False,3.6,2.9,2.9
Morrisons,5.9,kg,Betty Crocker Velvety Vanilla Cake Mix,20240129,food_cupboard,False,7.1,7.1,7.06
Morrisons,11.3,l,Haagen-Dazs Vanilla Ice Cream,20240129,frozen,False,8.1,11.7,8.2
Morrisons,7.7,kg,Bonne Maman Black Cherry Conserve,20240129,food_cupboard,False,9.7,9.7,7.0
Morrisons,9.5,kg,Pukka Vegan Chicken & Mushroom Pie,20240129,fresh_food,False,9.5,9.5,9.52
Morrisons,33.3,l,Colgate Total Advanced Deep Clean Toothpaste,20240129,health_products,False,40.0,66.7,33.3
Morrisons,3.4,kg,Yutaka Sushi Rice,20240129,food_cupboard,False,4.4,4.4,3.4
Morrisons,11.3,l,Haagen-Dazs Salted Caramel Ice Cream,20240129,frozen,False,8.1,11.7,8.2
Morrisons,6.2,kg,Betty Crocker Vanilla Buttercream Style Icing,20240129,food_cupboard,False,7.5,7.5,7.5
Morrisons,11.3,l,Haagen-Dazs Belgian Chocolate Ice Cream,20240129,frozen,False,8.1,11.7,8.2
Morrisons,10.75,kg,Lurpak Slightly Salted Butter,20240129,fresh_food,False,10.75,10.75,8.5
Morrisons,7.93,l,Halo Top Sea Salt Caramel Ice Cream,20240129,frozen,False,7.4,11.4,11.1
Morrisons,9.3,kg,Pukka Minced Beef & Onion Pie,20240129,fresh_food,False,7.0,2.0,7.0
Morrisons,11.8,l,Ben & Jerry's Caramel Chew Chew Ice Cream Tub,20240129,frozen,False,11.1,11.2,8.1
Morrisons,6.2,kg,Betty Crocker Chocolate Fudge Icing,20240129,food_cupboard,False,7.5,7.5,7.5
Morrisons,7.7,kg,Bonne Maman Wild Blueberry Conserve,20240129,food_cupboard,False,9.7,9.7,7.0
Morrisons,10.75,kg,Lurpak Unsalted Butter,20240129,fresh_food,False,10.75,10.75,8.5
