supermarket,product,unit_price,year,month,day,weekday,total_sale
ASDA,Pukka Vegan Sausage Roll,9.6,2024,1,29,0,1
ASDA,Cofresh London Mix,4.6,2024,1,29,0,1
ASDA,Cofresh Gujarati Mix,4.6,2024,1,29,0,1
ASDA,Heinz Macaroni Cheese,7.0,2024,1,29,0,1
ASDA,Pepsi Max Lime No Sugar Cola Bottle,3.1,2024,1,29,0,1
ASDA,Tilda Pure Basmati Rice,4.0,2024,1,29,0,1
ASDA,Kenco Smooth Instant Coffee,30.0,2024,1,29,0,1
ASDA,Princes Reduced Salt Corned Beef,9.6,2024,1,29,0,1
ASDA,Robinsons Pressed Pear & Elderflower Fruit Cordial,6.0,2024,1,29,0,1
ASDA,McCain Crispy French Fries,3.07,2024,1,29,0,1
ASDA,Haagen-Dazs Vanilla Ice Cream,8.1,2024,1,29,0,1
ASDA,Cadbury Caramilk Golden Caramel Chocolate Bar,16.7,2024,1,29,0,1
ASDA,Naked Strawberry & Banana Smoothie,4.0,2024,1,29,0,1
ASDA,Pek Chopped Pork,7.7,2024,1,29,0,1
ASDA,Metanium Nappy Rash Ointment,155.0,2024,1,29,0,1
ASDA,Kenco Rich Instant Coffee,30.0,2024,1,29,0,1
ASDA,Mr Kipling Manor House Cake,2.75,2024,1,29,0,1
ASDA,Soreen Malt Lunchbox Loaves,0.25,2024,1,29,0,1
ASDA,Elephant Atta Medium Chapatti Flour,1.33,2024,1,29,0,1
ASDA,Heinz Spaghetti Bolognese,7.0,2024,1,29,0,1
ASDA,Halo Top Sea Salt Caramel Ice Cream,7.4,2024,1,29,0,1
ASDA,Filippo Berio Extra Virgin Olive Oil,13.5,2024,1,29,0,1
ASDA,Coca-Cola Zero Sugar Cherry,3.4,2024,1,29,0,1
ASDA,Dolmio Pasta Bake Creamy Tomato Pasta Sauce,3.5,2024,1,29,0,1
ASDA,Dr. Oetker Liquid Glucose,15.4,2024,1,29,0,1
ASDA,Cetaphil Oily Skin Cleanser,31.8,2024,1,29,0,1
ASDA,Walkers Roast Chicken Multipack Crisps,13.3,2024,1,29,0,1
ASDA,Dolmio Lasagne Red Tomato Sauce,3.7,2024,1,29,0,1
ASDA,Betty Crocker Tempting Chocolate Cake Mix,7.06,2024,1,29,0,1
ASDA,Haagen-Dazs Belgian Chocolate Ice Cream,8.1,2024,1,29,0,1
ASDA,Walkers Salt & Vinegar Multipack Crisps,13.3,2024,1,29,0,1
ASDA,Haagen-Dazs Salted Caramel Ice Cream,8.1,2024,1,29,0,1
ASDA,Durex Play Silicone Based Perfect Glide Lubricant Gel,215.0,2024,1,29,0,1
ASDA,Yutaka Sushi Rice,4.4,2024,1,29,0,1
ASDA,Quaker Oat So Simple Original Porridge Pot,28.7,2024,1,29,0,1
ASDA,Lee Kum Kee Premium Light Soy Sauce,9.3,2024,1,29,0,1
ASDA,Blue Dragon Black Bean Stir Fry Sauce,7.9,2024,1,29,0,1
ASDA,Vitalite Dairy Free Spread,3.4,2024,1,29,0,1
ASDA,Kiddylicious Veggie Straws,58.3,2024,1,29,0,1
ASDA,Colman's Bramley Apple Sauce,7.7,2024,1,29,0,1
ASDA,Deep Heat Muscle Rescue Heat Spray,69.0,2024,1,29,0,1
ASDA,Jordans Frusli Juicy Red Berry Chewy Cereal Bars,12.7,2024,1,29,0,1
ASDA,Diet Pepsi Cola Bottle,3.1,2024,1,29,0,1
ASDA,Quaker Oat So Simple Original Porridge Sachets,13.0,2024,1,29,0,1
ASDA,Laila Basmati Rice,1.8,2024,1,29,0,2
ASDA,Old Jamaica Ginger Beer,1.8,2024,1,29,0,1
ASDA,Lavazza Qualita Rossa Coffee Beans,17.6,2024,1,29,0,1
ASDA,Heinz Oxtail Soup,4.2,2024,1,29,0,1
ASDA,Pringles Original Sharing Crisps,12.2,2024,1,29,0,1
ASDA,Naked Green Machine Super Smoothie,2.7,2024,1,29,0,1
ASDA,Dolmio Lasagne Creamy White Sauce,3.9,2024,1,29,0,1
ASDA,Pukka Beef Pasty,8.3,2024,1,29,0,1
ASDA,Walkers Smoky Bacon Multipack Crisps,13.3,2024,1,29,0,1
