supermarket,unit_price,unit,names,date,category,own_brand,Morrisons_price,Tesco_price,Sains_price
ASDA,4.1,kg,Maggi Authentic Indian Tamarind Sauce,20240129,food_cupboard,False,4.1,5.3,5.3
ASDA,6.7,l,Bulldog Skincare Original Shower Gel,20240129,health_products,False,10.0,10.7,10.0
ASDA,2.5,l,Relentless Raspberry Zero Energy Drink,20240129,drinks,False,2.8,2.5,2.4
ASDA,9.6,kg,Pukka Vegan Sausage Roll,20240129,fresh_food,False,13.5,13.5,13.46
ASDA,4.6,kg,Cofresh London Mix,20240129,food_cupboard,False,4.7,3.0,3.1
ASDA,4.6,kg,Cofresh Gujarati Mix,20240129,food_cupboard,False,4.7,3.0,3.1
ASDA,3.1,l,Pepsi Max Lime No Sugar Cola Bottle,20240129,drinks,False,1.0,1.7666666666666668,3.5
ASDA,4.0,kg,Tilda Pure Basmati Rice,20240129,food_cupboard,False,2.6,4.35,3.8
ASDA,30.0,kg,Kenco Smooth Instant Coffee,20240129,drinks,False,30.0,31.2,35.0
ASDA,9.6,kg,Princes Reduced Salt Corned Beef,20240129,food_cupboard,False,8.8,10.3,10.3
ASDA,6.0,l,Robinsons Pressed Pear & Elderflower Fruit Cordial,20240129,fresh_food,False,6.0,6.0,5.0
ASDA,3.07,kg,McCain Crispy French Fries,20240129,frozen,False,2.5,3.315,3.03
ASDA,8.1,l,Haagen-Dazs Vanilla Ice Cream,20240129,frozen,False,11.3,11.7,8.2
ASDA,16.7,kg,Cadbury Caramilk Golden Caramel Chocolate Bar,20240129,food_cupboard,False,20.3,13.633333333333333,18.3
ASDA,4.0,l,Naked Strawberry & Banana Smoothie,20240129,fresh_food,False,7.8,5.1,2.7
ASDA,7.7,kg,Pek Chopped Pork,20240129,fresh_food,False,11.7,8.3,8.3
ASDA,155.0,kg,Metanium Nappy Rash Ointment,20240129,health_products,False,155.0,155.0,150.0
ASDA,30.0,kg,Kenco Rich Instant Coffee,20240129,drinks,False,30.0,31.2,32.5
ASDA,2.75,unit,Mr Kipling Manor House Cake,20240129,bakery,False,3.0,8.2,8.46
ASDA,0.25,unit,Soreen Malt Lunchbox Loaves,20240129,food_cupboard,False,0.25,4.325,0.25
ASDA,1.33,kg,Elephant Atta Medium Chapatti Flour,20240129,food_cupboard,False,0.7,0.97,0.7
ASDA,7.0,kg,Heinz Spaghetti Bolognese,20240129,food_cupboard,False,4.98,7.5,5.5
ASDA,7.4,l,Halo Top Sea Salt Caramel Ice Cream,20240129,food_cupboard,False,7.93,11.4,11.1
